ID;Condição;Chutes;Chutes a gol;Posse de bola;Passes;Faltas;Cartões amarelos;Cartões vermelhos;Impedimentos;Escanteios
6209;Visitante;16;0;59%;457;16;4;0;0;4
6202;Mandante;13;0;37%;347;8;2;0;3;2
6202;Visitante;8;0;63%;568;11;2;0;0;6
6208;Mandante;16;0;57%;553;16;2;0;1;4
6208;Visitante;12;0;43%;417;12;4;0;1;5
6204;Mandante;8;0;49%;331;20;1;0;0;5
6204;Visitante;10;0;51%;321;13;1;0;2;7
6212;Mandante;9;0;45%;402;14;3;0;0;3
6212;Visitante;9;0;55%;475;11;1;0;1;8
6213;Mandante;9;0;47%;390;10;2;0;1;7
6213;Visitante;9;0;53%;458;16;3;1;1;4
6215;Mandante;21;0;52%;370;12;3;0;8;6
6215;Visitante;8;0;48%;343;22;4;1;0;6
6210;Mandante;17;0;55%;507;6;1;0;0;12
6210;Visitante;2;0;45%;450;16;3;0;0;1
6216;Mandante;15;0;52%;376;18;3;0;1;6
6216;Visitante;7;0;48%;356;18;4;1;0;6
6214;Mandante;17;0;60%;465;20;6;0;0;8
6214;Visitante;8;0;40%;315;14;3;2;0;8
6211;Mandante;15;0;57%;491;11;2;0;2;9
6211;Visitante;10;0;43%;391;8;1;0;4;4
6219;Mandante;14;0;63%;539;13;1;0;3;4
6219;Visitante;4;0;37%;318;6;1;0;1;1
6218;Mandante;14;0;33%;298;10;1;0;0;8
6218;Visitante;8;0;67%;627;10;2;0;3;9
6217;Mandante;24;0;60%;563;10;2;0;1;12
6217;Visitante;9;0;40%;413;12;3;0;2;3
6221;Mandante;20;0;56%;389;12;3;0;1;7
6221;Visitante;13;0;44%;323;19;1;0;0;3
6220;Mandante;13;0;63%;502;10;1;1;2;11
6220;Visitante;8;0;37%;307;13;1;0;3;4
6222;Mandante;5;0;66%;636;4;1;0;0;7
6222;Visitante;14;0;34%;339;4;0;0;1;8
6229;Mandante;12;0;38%;300;18;2;0;0;3
6229;Visitante;21;0;62%;466;15;2;0;4;6
6226;Mandante;13;0;36%;282;15;0;0;5;8
6226;Visitante;10;0;64%;546;8;1;0;1;0
6227;Mandante;19;0;58%;442;14;1;0;1;3
6227;Visitante;5;0;42%;330;18;1;1;1;2
6223;Mandante;11;0;55%;476;14;2;0;3;5
6223;Visitante;9;0;45%;391;22;2;0;0;6
6224;Mandante;11;0;47%;481;7;0;0;1;3
6224;Visitante;12;0;53%;542;16;0;0;2;1
6228;Mandante;17;0;69%;619;10;1;0;2;10
6228;Visitante;11;0;31%;282;18;0;0;1;4
6225;Mandante;13;0;36%;313;12;4;0;1;3
6225;Visitante;12;0;64%;538;8;3;1;2;7
6231;Mandante;13;0;51%;406;16;3;0;2;4
6231;Visitante;5;0;49%;407;13;2;2;4;2
6232;Mandante;17;0;59%;538;14;1;0;1;7
6232;Visitante;16;0;41%;364;12;3;0;1;2
6230;Mandante;9;0;41%;284;19;1;0;8;8
6230;Visitante;10;0;59%;429;13;3;0;1;6
6236;Mandante;9;0;46%;374;19;3;0;0;5
6236;Visitante;11;0;54%;447;17;3;0;2;0
6233;Mandante;25;0;58%;587;12;1;0;3;6
6233;Visitante;3;0;42%;437;13;1;0;1;1
6239;Mandante;11;4;46%;320;26;3;0;3;3
6239;Visitante;20;8;54%;379;15;2;0;5;4
6238;Mandante;15;0;47%;430;10;1;0;0;8
6238;Visitante;8;0;53%;491;12;3;0;2;0
6235;Mandante;16;0;39%;387;12;2;0;0;3
6235;Visitante;12;0;61%;590;7;1;0;6;6
6237;Mandante;22;0;44%;277;25;4;0;2;10
6237;Visitante;9;0;56%;364;15;2;0;2;5
6234;Mandante;18;0;56%;472;13;1;0;5;7
6234;Visitante;11;0;44%;386;12;3;0;2;2
6240;Mandante;17;0;62%;490;11;2;0;3;7
6240;Visitante;12;0;38%;313;19;4;0;0;1
6241;Mandante;16;0;47%;496;16;4;0;2;3
6241;Visitante;20;0;53%;551;11;0;0;1;7
6242;Mandante;12;0;49%;385;13;5;0;2;7
6242;Visitante;11;0;51%;399;15;5;0;1;6
6245;Mandante;14;0;36%;290;14;2;0;2;5
6245;Visitante;14;0;64%;516;12;2;0;1;8
6248;Mandante;15;0;57%;465;9;0;0;3;3
6248;Visitante;8;0;43%;360;18;3;0;1;1
6243;Mandante;12;2;43%;372;23;3;0;0;0
6243;Visitante;13;5;57%;484;16;4;0;0;6
6247;Mandante;12;0;38%;351;6;1;1;3;4
6247;Visitante;12;0;62%;575;19;5;0;2;6
6246;Mandante;12;0;48%;388;14;2;0;4;7
6246;Visitante;15;0;52%;429;11;3;0;1;5
6249;Mandante;14;0;53%;505;17;2;1;1;4
6249;Visitante;6;0;47%;469;12;2;0;1;2
6244;Mandante;19;0;64%;509;12;1;0;0;6
6244;Visitante;10;0;36%;284;13;3;0;2;3
6250;Mandante;21;0;47%;359;23;4;0;0;8
6250;Visitante;8;0;53%;407;14;5;0;5;8
6254;Mandante;8;0;46%;383;19;2;1;1;5
6254;Visitante;17;0;54%;440;22;5;0;1;6
6257;Mandante;10;0;39%;345;22;3;0;2;2
6257;Visitante;5;0;61%;549;10;1;0;4;6
6255;Mandante;8;0;63%;588;14;1;0;3;2
6255;Visitante;14;0;37%;345;18;4;0;1;5
6252;Mandante;20;0;51%;344;18;4;1;10;10
6252;Visitante;14;0;49%;368;16;4;0;1;2
6251;Mandante;7;0;48%;414;16;2;0;2;3
6251;Visitante;12;0;52%;452;14;2;0;3;4
6253;Mandante;14;8;60%;520;12;0;0;0;8
6253;Visitante;11;2;40%;345;11;3;0;6;3
6256;Mandante;9;0;40%;350;11;3;0;1;3
6256;Visitante;14;0;60%;510;14;3;0;2;7
6259;Mandante;13;0;51%;430;16;0;0;1;4
6259;Visitante;13;0;49%;420;12;1;0;2;9
6258;Mandante;14;0;65%;572;14;4;0;3;9
6258;Visitante;6;0;35%;330;9;4;0;1;4
6262;Mandante;15;0;53%;464;10;0;0;0;7
6262;Visitante;5;0;47%;420;10;0;0;1;3
6261;Mandante;15;0;47%;416;19;2;1;1;5
6261;Visitante;4;0;53%;463;16;2;0;5;5
6260;Mandante;18;0;77%;539;15;4;1;5;4
6260;Visitante;7;0;23%;169;17;1;3;2;2
6267;Mandante;16;0;54%;476;15;0;0;5;4
6267;Visitante;5;0;46%;420;15;4;0;1;3
6264;Mandante;15;0;64%;507;9;1;0;1;9
6264;Visitante;8;0;36%;294;17;2;0;1;11
6269;Mandante;18;0;74%;690;15;3;0;3;5
6269;Visitante;9;0;26%;248;12;3;1;0;3
6263;Mandante;16;0;49%;312;20;6;0;2;11
6263;Visitante;7;0;51%;351;14;3;0;2;1
6266;Mandante;12;0;52%;363;19;2;0;1;4
6266;Visitante;10;0;48%;365;22;4;0;3;1
6268;Mandante;7;0;53%;437;13;6;0;2;5
6268;Visitante;20;0;47%;402;24;5;1;0;9
6265;Mandante;12;0;56%;517;9;1;0;0;7
6265;Visitante;12;0;44%;448;9;0;0;3;1
6276;Mandante;10;0;47%;406;20;2;1;0;2
6276;Visitante;12;0;53%;438;23;1;0;0;4
6273;Mandante;11;0;62%;587;17;3;0;3;5
6273;Visitante;11;0;38%;369;16;3;0;2;2
6274;Mandante;8;0;46%;367;21;5;1;2;3
6274;Visitante;7;0;54%;426;23;2;1;0;3
6270;Mandante;14;0;51%;403;7;2;0;2;10
6270;Visitante;12;0;49%;407;9;2;0;1;6
6271;Mandante;9;3;53%;426;11;1;0;1;3
6271;Visitante;16;5;47%;376;24;4;0;2;7
6275;Mandante;15;0;48%;431;11;1;0;2;2
6275;Visitante;11;0;52%;462;9;1;0;3;2
6272;Mandante;14;0;56%;604;7;0;0;0;4
6272;Visitante;15;0;44%;473;6;3;0;2;6
6279;Mandante;19;0;40%;382;8;3;0;0;6
6279;Visitante;10;0;60%;591;6;1;0;1;5
6277;Mandante;9;0;55%;361;13;4;0;2;2
6277;Visitante;7;0;45%;305;10;2;0;3;6
6278;Mandante;10;0;46%;360;18;3;0;1;3
6278;Visitante;10;0;54%;412;10;3;0;2;7
6280;Mandante;25;0;62%;514;13;4;0;0;4
6280;Visitante;7;0;38%;322;26;7;0;0;3
6281;Mandante;15;0;53%;424;19;4;0;3;4
6281;Visitante;4;0;47%;382;18;3;1;5;4
6286;Mandante;16;0;38%;333;22;5;0;1;2
6286;Visitante;20;0;62%;531;15;2;0;0;10
6284;Mandante;13;0;69%;595;10;0;0;2;8
6284;Visitante;7;0;31%;267;17;1;0;3;6
6282;Mandante;12;0;35%;278;17;2;1;4;3
6282;Visitante;16;0;65%;499;16;5;0;3;9
6287;Mandante;12;0;52%;473;11;3;0;1;6
6287;Visitante;14;0;48%;460;13;3;0;0;4
6285;Mandante;13;0;49%;429;13;2;0;1;3
6285;Visitante;9;0;51%;440;12;1;0;3;7
6289;Mandante;14;0;44%;351;18;2;0;4;6
6289;Visitante;17;0;56%;423;20;2;0;2;13
6283;Mandante;13;0;65%;581;18;2;0;2;2
6283;Visitante;12;0;35%;326;19;2;0;2;3
6288;Mandante;6;2;57%;440;19;2;0;1;3
6288;Visitante;13;3;43%;336;17;3;0;0;2
6290;Mandante;15;0;33%;262;19;4;0;3;5
6290;Visitante;7;0;67%;555;11;3;0;6;3
6295;Mandante;9;2;51%;392;14;1;0;3;5
6295;Visitante;12;9;49%;372;19;3;0;0;6
6296;Mandante;9;0;49%;449;12;2;0;0;11
6296;Visitante;8;0;51%;489;11;5;0;2;1
6292;Mandante;7;0;63%;362;16;2;0;0;6
6292;Visitante;10;0;37%;217;23;4;0;0;1
6293;Mandante;16;0;48%;423;13;1;0;1;7
6293;Visitante;5;0;52%;488;5;2;0;1;2
6297;Mandante;13;0;44%;477;7;1;0;2;1
6297;Visitante;16;0;56%;592;11;1;0;1;3
6294;Mandante;13;0;44%;348;15;2;0;4;5
